"vernacular_fr";"name";"rank";"tsn"
"épithèque épineuse";"Epitheca spinigera";"espèce";"185987"
"épithèque d'uhler";"Helocordulia uhleri";"espèce";"101880"
"épithèque de brunelle";"Neurocordulia michaeli";"espèce";"593381"
"épithèque de provancher";"Neurocordulia yamaskanensis";"espèce";"101937"
"cordulie annelée";"Somatochlora albicincta";"espèce";"101952"
"cordulie de robert";"Somatochlora brevicincta";"espèce";"101964"
"cordulie ceinturée";"Somatochlora cingulata";"espèce";"101954"
"cordulie allongée";"Somatochlora elongata";"espèce";"101955"
"cordulie tricoteuse";"Somatochlora filosa";"espèce";"101956"
"cordulie fourchue";"Somatochlora forcipata";"espèce";"101966"
"cordulie de franklin";"Somatochlora franklini";"espèce";"101967"
"cordulie incurvée";"Somatochlora incurvata";"espèce";"101970"
"cordulie de kennedy";"Somatochlora kennedyi";"espèce";"101957"
"cordulie linéaire";"Somatochlora linearis";"espèce";"101949"
"cordulie mineure";"Somatochlora minor";"espèce";"101958"
"cordulie septentrionale";"Somatochlora septentrionalis";"espèce";"101974"
"cordulie ténébreuse";"Somatochlora tenebrosa";"espèce";"101950"
"cordulie de walsh";"Somatochlora walshii";"espèce";"101960"
"cordulie de whitehouse";"Somatochlora whitehousei";"espèce";"101975"
"cordulie de williamson";"Somatochlora williamsoni";"espèce";"101961"
"cordulie bistrée";"Williamsonia fletcheri";"espèce";"101829"
"libellulides";"Libellulidae";"famille";"101797"
"célithème indienne";"Celithemis elisa";"espèce";"101843"
"célithème géante";"Celithemis eponina";"espèce";"101844"
"érythème des étangs";"Erythemis simplicicollis";"espèce";"101866"
"érythrodiplax côtier";"Erythrodiplax berenice";"espèce";"101873"
"julienne";"Ladona julia";"espèce";"101884"
"leucorrhine frigide";"Leucorrhinia frigida";"espèce";"101890"
"leucorrhine glaciale";"Leucorrhinia glacialis";"espèce";"101886"
"leucorrhine hudsonienne";"Leucorrhinia hudsonica";"espèce";"101887"
"leucorrhine mouchetée";"Leucorrhinia intacta";"espèce";"101888"
"leucorrhine nordique";"Leucorrhinia patricia";"espèce";"101891"
"leucorrhine apprivoisée";"Leucorrhinia proxima";"espèce";"101892"
"voluptueuse";"Libellula incesta";"espèce";"101900"
"mélancolique";"Libellula luctuosa";"espèce";"101894"
"gracieuse";"Libellula pulchella";"espèce";"101895"
"quadrimaculée";"Libellula quadrimaculata";"espèce";"101896"
"chaleureuse";"Libellula semifasciata";"espèce";"101903"
"elfe";"Nannothemis bella";"espèce";"101933"
"pachydiplax";"Pachydiplax longipennis";"espèce";"101799"
"pantale flavescente";"Pantala flavescens";"espèce";"101801"
